item_id,population,current_tags,title,summary,steps,equipment_id,current_app_behaviour,disposition,tags,rationale
ea_180_jump_turns,TAGGED,ankle knee,180 Jump Turns,Stand with your feet hip width apart and your knees slightly bent,"Stand with your feet hip width apart and your knees slightly bent Swing your arms back and dip into a quarter squat Jump up and turn one hundred and eighty degrees in the air Land softly on both feet with the knees bent and tracking over the toes Pause, reset, then jump back the other way",,Removed from the library of a user whose declared injury region intersects these tags.,,,
ea_3_leg_chatarunga_pose,UNTAGGED,,3 Leg Chatarunga Pose,Start in a plank position with your hands shoulder-width apart and feet hip-width apart,"Start in a plank position with your hands shoulder-width apart and feet hip-width apart Lift your right leg straight back and up, keeping your hips level Shift your body forward into a plank position while keeping the right leg lifted Lower your body towards the floor by bending your elbows close to your sides, maintaining a straight line from head to left heel. Return to the plank position and repeat on the left side",,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_3_leg_dog_pose,UNTAGGED,,3 Leg Dog Pose,Start in a downward-facing dog position with your hands shoulder-width apart and feet hip-width apart,"Start in a downward-facing dog position with your hands shoulder-width apart and feet hip-width apart Lift your right leg straight back and up, keeping your hips level and ensuring your body forms a straight line from your wrists to your raised foot Hold the position, keeping your core engaged and your leg extended Lower your right leg back to the floor and return to the plank position. Repeat with the left leg",,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_3_4_sit_up,TAGGED,lower_back neck,3-4 Sit-up,"Lie on your back with your knees bent and your feet flat on the floor, hip-width apart","Lie on your back with your knees bent and your feet flat on the floor, hip-width apart Place your hands behind your head, keeping your elbows wide Engage your core and lift your upper body towards your knees, coming up about three-quarters of the way Slowly lower your upper body back to the starting position and repeat",,Removed from the library of a user whose declared injury region intersects these tags.,,,
ea_4_corners_curtsy,UNTAGGED,,4 Corners Curtsy,"Start with feet shoulder-width apart, hands close to your chest","Start with feet shoulder-width apart, hands close to your chest Step your right foot back and to the left, crossing behind your left leg and bending both knees into a curtsy lunge while extending both arms straight to the oposite side in front of yout torso Return to the starting position by stepping your right foot forward to meet your left foot Repeat the curtsy lunge the opposite side while straightening both arms on the opposite side",,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_4_corners_side_step,TAGGED,knee,4 Corners Side Step,"Stand with your feet shoulder-width apart, knees slightly bent","Stand with your feet shoulder-width apart, knees slightly bent Keep your hands close in front of your chest with your fists forming a punch and facing forward Lift your right foot to the back, straightening it sideways and lightly touching the floor when fully extended. While extending both fists frontwards Bring your right foot back to starting position and both fists close to your chest at starting position and repeat with alternating legs",,Removed from the library of a user whose declared injury region intersects these tags.,,,
ea_4_punches_side_squat,TAGGED,ankle hip knee,4 Punches Side Squat,"Start with feet shoulder-width apart, hands in fists at chest level","Start with feet shoulder-width apart, hands in fists at chest level Perform four punches in front of you, alternating between left and right hands Step your right foot out to the side and lower into a squat position, keeping your spine neutral and knees aligned with your toes Return to the standing position by stepping your left foot back in, and repeat the exercise",,Removed from the library of a user whose declared injury region intersects these tags.,,,
ea_4_reverse_lunge_and_4_side_taps,TAGGED,hip knee,4 Reverse Lunge and 4 Side Taps,"Start with feet shoulder-width apart, arms straight in front of your torso","Start with feet shoulder-width apart, arms straight in front of your torso Step your right foot back into a reverse lunge, bending both knees to 90 degrees. Return to the starting position by stepping your right foot forward and repeat 1 time Return to standing position and perform four side taps by stepping your right foot out to the side and tapping the floor, then bringing it back to the center. Repeat on the other side Return to starting position and repeat",,Removed from the library of a user whose declared injury region intersects these tags.,,,
ea_45_degree_bicycle_twist_knee_to_elbow,UNTAGGED,,45 Degree Bicycle Twist Knee to Elbow,Align yourself to 45 degrees to the floor by fixing your left foot into the footrest and supporting your thigh against the padded platform,"Align yourself to 45 degrees to the floor by fixing your left foot into the footrest and supporting your thigh against the padded platform Place your left hand behind your head and your right hand on your waist Open your upper leg slightly and bend your knee while bringing your opposite elbow towards it Return to the initial position, and repeat",back_extension,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
ea_45_degree_bicycle_twisting,UNTAGGED,,45 Degree Bicycle Twisting,Align yourself to 45 degrees to the floor by fixing your left foot into the footrest and supporting your thigh against the padded platform,"Align yourself to 45 degrees to the floor by fixing your left foot into the footrest and supporting your thigh against the padded platform Place your left hand behind your head and your right hand on your waist Open your upper leg slightly and bend your knee while bringing your opposite elbow towards it Return to the initial position, and repeat",back_extension,"SHOWN to every user, including one with a declared injury. It carries no tag to screen against and the app does not tell the user it could not screen it. This is finding F013: the behaviour is reproduced and verified; its severity is what Q3 asks you to judge.",,,
