artefact,disposition,covered_by,what_is_still_missing,final_classification
11_SCANNER_AUDIT.md,PARTIAL_COVERAGE,"12_MODEL_INVENTORY.csv and 19_FEATURE_REALITY_MATRIX.csv carry the static facts (label set of 10, registry of 69, quantisation, model size)","The pipeline behaviour - latency, real-gym accuracy, failure modes - needs a device session",UNAVAILABLE without hardware; not an audit shortfall
15_PROGRAMME_INVENTORY.csv,PARTIAL_COVERAGE,24_PROGRAMME_QUALITY_AUDIT.md covers all seven programmes narratively; F021/F022 carry the structural defects,A per-programme volume and progression table is mechanical and COULD have been produced from ProgrammeSpec; only the QUALITY judgement needed the unavailable review,TRUE_AUDIT_SHORTFALL - the structural half was producible and was not produced
16_FIREBASE_DATA_MAP.md,PARTIAL_COVERAGE,26_SECURITY_AUDIT.md holds the collection-level facts and the rules analysis,"Retention and backup policy were never inspected. N03 (client-writable health block) was found in this review, not the first - a data map would likely have surfaced it",TRUE_AUDIT_SHORTFALL - and it has a demonstrated cost
17_PRIVACY_DATA_INVENTORY.csv,PARTIAL_COVERAGE,14_PERSONALIZATION_INPUT_MATRIX.csv and 26_SECURITY_AUDIT.md between them list what is collected and where it is stored,No per-field lawful-basis / retention / erasure column. D4 (collected-and-unused data) is exactly the decision this artefact exists to inform,TRUE_AUDIT_SHORTFALL
18_TEST_INVENTORY.csv,NOT_RUN,none - the test-forensics reviewer inspected 4 of 264 files and declined to report on the rest,"The refusal was correct: a per-file false-green column across 264 unread files would have been invention. But a mechanical inventory (file, test count, suite, collected-or-not) needed no judgement at all",TRUE_AUDIT_SHORTFALL - the mechanical half was producible
21_DOC_CODE_DRIFT.csv,PARTIAL_COVERAGE,"04_CLAIM_LEDGER.csv holds the candidate claims; the high-consequence subset was verified (F018, F002, PITCH_2026 claims)",The long tail of documentation claims was not checked,"PARTIAL_COVERAGE - defensible triage, disclosed"
30_EVIDENCE_INDEX.csv,EQUIVALENT_COVERAGE_ELSEWHERE,Every finding row in 29_FINDINGS.csv carries its own file:line or the command that produced it,A separate index would be a second copy of the same column,EQUIVALENT_COVERAGE_ELSEWHERE
33_REPRODUCIBILITY_MATRIX.csv,EQUIVALENT_COVERAGE_ELSEWHERE,Superseded by this review: 14_NUMERIC_REPRODUCTION.csv independently recomputes 23 of 23 metrics from the shipped assets,The second-order review produced what the first omitted,EQUIVALENT_COVERAGE_ELSEWHERE - satisfied retrospectively
35_QA_ADVERSARY_REPORT.md,PARTIAL_COVERAGE,"Superseded by 27_QA_ADVERSARY_BLIND_REPORT.md in this review - blinded stage A, which is stronger than the mandate asked for",Stage B (non-blind challenge of the findings) was never run,"PARTIAL_COVERAGE - stage A exceeds the mandate, stage B is still outstanding"
FULL_PROJECT_AUDIT.json,NOT_RUN,none,A machine-readable roll-up of artefacts that all exist as CSV/MD. Purely mechanical,"TRUE_AUDIT_SHORTFALL - trivially producible, simply not produced"
