title,id,equipment,previously,why_no_clip,closest_vendor_clip,closeness,still_has_photos
Barbell Prone Incline Curl,vid_barbell_prone_incline_curl,barbell,had unlicensed animation,"Different equipment or named variants, no exact match.",Dumbbell Prone Incline Curl,0.91,no
Barbell Incline Shoulder Raise,fedb_barbell_incline_shoulder_raise,barbell,never had a clip,Incline barbell shrug not matched by candidates.,Barbell Incline Shoulders Press,0.89,yes
Dumbbell Lying Hammer Press,vid_dumbbell_lying_hammer_press,dumbbell,had unlicensed animation,No candidate specifies 'hammer' (neutral grip) for a flat press.,Dumbbell Decline Hammer Press,0.89,no
Barbell Rear Delt Row,fedb_barbell_rear_delt_row,barbell,had unlicensed animation,Specific rear delt row variant not matched by candidates.,Dumbbell Rear Delt Row,0.88,yes
Standing Leg Curl,fedb_standing_leg_curl,leg_curl,had unlicensed animation,No 'Standing Leg Curl Machine' match; other options are different equipment/posi,Band Standing Leg Curl,0.87,yes
Barbell Guillotine Bench Press,barbell_guillotine_bench_press,bench_press,had unlicensed animation,not asked,Barbell Inclined Bench Press,0.86,yes
Dumbbell Lying Leg Curl,vid_dumbbell_lying_femoral,dumbbell,had unlicensed animation,"No candidate matches dumbbell, lying (prone), and leg curl.",Dumbbell Lying Supine Curl,0.86,no
Standing Knee Raise,vid_stretching_knee_raise,,had unlicensed animation,"No candidate matches standing, holding one knee to chest.",standing y raise,0.86,no
Cable Rope Pushdown,vid_cable_pushdown_rope_attachment,cable_machine,had unlicensed animation,not asked,Cable Pushdown,0.85,no
Double Kettlebell Windmill,fedb_double_kettlebell_windmill,kettlebell,never had a clip,Specific 'Double Kettlebell' variant not found.,Kettlebell Windmill,0.84,yes
Dumbbell Fly on an Exercise Ball,vid_dumbbell_fly_on_exercise_ball,dumbbell,had unlicensed animation,Incline variant is different; no flat fly on exercise ball.,Dumbbell Incline Fly on Exercise Ball,0.84,no
Dumbbell Lying Alternating Triceps Extension,vid_dumbbell_lying_alternate_extension,dumbbell,had unlicensed animation,No alternating dumbbell lying triceps extension.,Dumbbell Lying Triceps Extension,0.84,no
Band Lying Leg Curl,vid_band_leg_curl,resistance_bands,had unlicensed animation,Specific 'lying' position with band not found.,Band Standing Leg Curl,0.83,no
