id,title,group,priority,has_purpose,visual_status,issue_code,field,finding,recommended_action
ea_45_degree_bicycle_twist_knee_to_elbow,45 Degree Bicycle Twist Knee to Elbow,Abdominals,P2,False,NOT_VERIFIED,DUPLICATE_STEPS,Title↔Steps,"Steps are exactly identical to another differently named exercise: 45 Degree Bicycle Twist Knee to Elbow, 45 Degree Bicycle Twisting.","Check whether these are true variants. If the movement differs, rewrite the distinguishing setup/execution cue; if identical, consider alias/dedup metadata."
ea_45_degree_bicycle_twisting,45 Degree Bicycle Twisting,Abdominals,P2,False,NOT_VERIFIED,DUPLICATE_STEPS,Title↔Steps,"Steps are exactly identical to another differently named exercise: 45 Degree Bicycle Twist Knee to Elbow, 45 Degree Bicycle Twisting.","Check whether these are true variants. If the movement differs, rewrite the distinguishing setup/execution cue; if identical, consider alias/dedup metadata."
ea_45_degree_side_bend,45 Degree Side Bend,Abdominals,P2,False,NOT_VERIFIED,SPINE_CUE,Steps,Uses 'flat/straight back' as a rigid dynamic cue; for loaded hinges/rows/planks a stable neutral spine is clearer.,Use 'brace and maintain a stable/neutral spine' unless flat contact with a support is the actual goal.
ea_45_degree_twisting_hyperextension,45 Degree Twisting Hyperextension,Abdominals,P2,False,NOT_VERIFIED,VAGUE_HOLD,Steps,Uses vague timing ('hold for a while/few seconds').,"Use an explicit short pause such as 1–2 seconds, or a defined static-stretch duration when appropriate."
ea_90_degree_heel_touch,90 Degree Heel Touch,Abdominals,P2,False,NOT_VERIFIED,VAGUE_HOLD,Steps; Title↔Steps,Uses vague timing ('hold for a while/few seconds').,"Use an explicit short pause such as 1–2 seconds, or a defined static-stretch duration when appropriate."
ea_90_degree_heel_touch,90 Degree Heel Touch,Abdominals,P2,False,NOT_VERIFIED,DUPLICATE_STEPS,Steps; Title↔Steps,"Steps are exactly identical to another differently named exercise: 90 Degree Heel Touch, 90 Degree Heels Touch.","Check whether these are true variants. If the movement differs, rewrite the distinguishing setup/execution cue; if identical, consider alias/dedup metadata."
ea_90_degree_heels_touch,90 Degree Heels Touch,Abdominals,P2,False,NOT_VERIFIED,VAGUE_HOLD,Steps; Title↔Steps,Uses vague timing ('hold for a while/few seconds').,"Use an explicit short pause such as 1–2 seconds, or a defined static-stretch duration when appropriate."
ea_90_degree_heels_touch,90 Degree Heels Touch,Abdominals,P2,False,NOT_VERIFIED,DUPLICATE_STEPS,Steps; Title↔Steps,"Steps are exactly identical to another differently named exercise: 90 Degree Heel Touch, 90 Degree Heels Touch.","Check whether these are true variants. If the movement differs, rewrite the distinguishing setup/execution cue; if identical, consider alias/dedup metadata."
ea_abdominal_crunches,Abdominal Crunches,Abdominals,P2,False,NOT_VERIFIED,VAGUE_HOLD,Steps,Uses vague timing ('hold for a while/few seconds').,"Use an explicit short pause such as 1–2 seconds, or a defined static-stretch duration when appropriate."
ea_abdominal_crunches_with_hold,Abdominal Crunches with Hold,Abdominals,P1,False,NOT_VERIFIED,MALFORMED_STEP,Steps,"A list item contains embedded numbering/formatting from another step, so the sequence is malformed.",Split the embedded instruction into its own step and normalize numbering/punctuation.
ea_abdominal_crunches_with_hold,Abdominal Crunches with Hold,Abdominals,P1,False,NOT_VERIFIED,TOO_FEW_STEPS,Steps,Only 2 step(s) are present; setup/execution/return may be underspecified.,"Expand to clear setup, execution, control/return and stop/ROM cues where applicable."
ea_abs_snails,Abs Snails,Abdominals,P2,True,PASS,LOWER_ABS_TERM,Purpose/Steps,Uses 'lower stomach/lower abs' as if it were a separate muscle compartment.,Use 'abdominals/rectus abdominis' and describe the movement (for example posterior pelvic tilt or hip flexion control) instead.
