id,title,verdict,chosen_clip,vendor_stem,confidence,why
90_90_hamstring,90/90 Hamstring,none,,,1.0,"Specific single-leg extension from 90/90 position, no direct match."
air_bike_intervals,Air Bike Intervals,none,,,0.0,"Exercise is an interval pattern, not a single speed."
alternating_cable_shoulder_press,Alternating Cable Shoulder Press,none,,,1.0,Different equipment or named variant.
alternating_deltoid_raise,Alternating Deltoid Raise,none,,,1.0,Different equipment or movement angle for all candidates.
alternating_floor_press,Alternating Floor Press,none,,,0.0,No matching kettlebell alternating floor press
alternating_hang_clean,Alternating Hang Clean,none,,,0.0,No matching kettlebell alternating hang clean
alternating_renegade_row,Alternating Renegade Row,none,,,0.0,No matching kettlebell renegade row (dumbbell is different equipment)
fedb_backward_medicine_ball_throw,Backward Medicine Ball Throw,none,,,1.0,'Backward' specifies a variant; 'Overhead Med Ball Throw' is general.
vid_band_leg_curl,Band Lying Leg Curl,none,,,1.0,No candidate specifies 'lying' leg curl with a band.
vid_band_one_arm_forward_raise,Band One-Arm Front Raise,none,,,1.0,"Exercise is one-arm; candidate is ambiguous, likely two-arm."
vid_band_one_arm_twisting_seated_row,Band One-Arm Twisting Seated Row,none,,,1.0,No candidate includes 'twisting' for a seated band row.
vid_band_seated_leg_extension,Band Seated Leg Extension,none,,,1.0,"No candidate matches band, seated, and leg extension."
vid_band_seated_row,Band Seated Row,none,,,1.0,No candidate matches equipment and no variants.
vid_band_side_triceps_pushdown,Band Side Triceps Pushdown,none,,,1.0,No candidate matches the specific 'side' anchor and movement path.
vid_band_standing_crunch,Band Standing Crunch,none,,,0.0,No clip matches equipment (band) and position (standing).
vid_band_standing_lift,Band Standing Lift,none,,,1.0,No candidate matches diagonal band lift movement.
vid_band_twist,Band Standing Twist,none,,,1.0,No candidate matches standing band horizontal torso twist.
vid_band_straight_back_seated_row,Band Straight-Back Seated Row,none,,,1.0,No candidate matches specific 'straight-back' variant with band.
vid_band_triceps_pushdown,Band Triceps Pushdown,none,,,1.0,"No candidate matches band triceps pushdown (bilateral, standing, standard)."
vid_band_twist_up_down,Band Twist - Up and Down,none,,,1.0,Cable vs Band is different equipment.
barbell_curls_lying_against_an_incline,Barbell Curls Lying Against An Incline,none,,,1.0,"No candidate matches barbell, curl, and lying incline (supine)."
barbell_hack_squat,Barbell Hack Squat,none,,,1.0,No candidate matches barbell held behind the body.
fedb_barbell_incline_shoulder_raise,Barbell Incline Shoulder Raise,none,,,1.0,Specific scapular protraction movement with barbell not found.
vid_barbell_prone_incline_curl,Barbell Prone Incline Curl,none,,,1.0,"No match: equipment, position, or variant differs"
fedb_barbell_rear_delt_row,Barbell Rear Delt Row,none,,,1.0,Specific rear delt barbell row form not matched.
fedb_barbell_rollout_from_bench,Barbell Rollout from Bench,none,,,1.0,Different body position (kneeling on bench vs. floor).
barbell_walking_lunge,Barbell Walking Lunge,none,,,1.0,Specific 'Walking' variant not found; 'lunges' is too general.
bench_sprint,Bench Sprint,none,,,1.0,"a bench sprint is fast alternating foot taps, not step-ups"
fedb_body_tricep_press,Body Tricep Press,none,,,1.0,"Specific bodyweight press against a fixed bar, no match."
bodyweight_mid_row,Bodyweight Mid Row,none,,,1.0,"Unique movement, no matching candidate."
bodyweight_walking_lunge,Bodyweight Walking Lunge,none,,,1.0,Specific 'Walking' variant not found; 'Forward Lunge' is different.
bosu_ball_cable_crunch_with_side_bends,Bosu Ball Cable Crunch With Side Bends,none,,,1.0,"No candidate combines Bosu, Cable, Crunch, and Side Bends."
fedb_bottoms_up,Bottoms Up,none,,,1.0,"Specific reverse crunch/hip raise, no exact match."
fedb_box_skip,Box Skip,none,,,0.0,No clip for skipping *with* boxes; 'skipping' is too general.
