claim_id,finding_or_claim,original_claim,original_method,revalidation_method,revalidation_result,status
C01,F010,7 providers unreferenced,occurrence counting over raw text,"occurrence counting with comment lines and block comments stripped, then raw grep at source for each survivor",10 unreferenced. Three were hidden by prose mentions,CORRECTED
C02,F001,"difficulty gradation is inert; ""any filter or selection by level is fiction""",catalogue data + grep on consumers,consumer trace of fitness_model.dart -> fitnessProfileProvider -> ref.watch call sites,fitnessProfileProvider is DEAD (personalisation_providers.dart:12; only two comment mentions besides its declaration). The level signal is computed into a void. My HIGH->MEDIUM downgrade rested on a consumer that does not exist,REPRODUCED_VERIFIED
C03,F003,14 questionnaire fields reach no engine,grep + directory classification,"occurrence counting outside onboarding/profile/l10n, every surviving hit read as an expression","All 14 confirmed unused. The one apparent contradiction (motivation) was a name collision - see E03. Denominator ""of 37"" remains unprovable",REPRODUCED_VERIFIED
C04,F004,recovery ignores sleepHoursPerNight and stressLevel,grep,occurrence counting outside onboarding/profile,Zero hits for either field outside onboarding/profile,REPRODUCED_VERIFIED
C05,F019,safetyFilterCoverage is never rendered,grep over mobile/lib,grep widened to the generated l10n under .dart_tool and to mobile/test,"Only the generated getter, the two .arb definitions and one test that asserts the string exists. No call site. The upstream catalogSafetyCoverageProvider feeds injuryFilteringIsRealProvider, which is ITSELF dead - so the whole coverage chain terminates unrendered",REPRODUCED_VERIFIED
C06,F020,SafetyDisclosure renders on one screen,grep for the constructor,"constructor sites plus every bare mention, comments separated from code","Two construction sites, both in equipment_detail_page.dart (:167, :178). The four other mentions are doc comments",REPRODUCED_VERIFIED
C07,F014,no pregnancy path exists,enum enumeration + grep pregnan*,grep pregnan* widened to functions/src and mobile/test,"Eight hits, none a mechanism: two comments in cycle_phase.dart recording the deliberate decision, plus test fixtures and a catalogue label string. No enum value, no question, no filter",REPRODUCED_VERIFIED
C08,PASS: no health data reaches any model prompt,PASS claim,grep on prompt builders,"enumerated the three model-input files, then searched them for injury/PAR-Q/condition/allergy/medication/pregnancy/restriction/SafetyContext tokens","Zero health tokens in ai_coach_service.dart, gemini_equipment_service.dart, machine_describer.dart",REPRODUCED_VERIFIED
C09,"PASS: 32 routes declared, none dead",PASS claim,route path extraction + reference counting,"per-path navigation-call-site trace, then hand probes for shell tabs, initialLocation and interpolated paths",32 declared confirmed. /splash is live via initialLocation (app_router.dart:184) and /progress via the shell tab list (main_shell.dart:16). /team/:teamId has NO navigation call site anywhere in lib/ - only the router declaration and a reachability test that asserts the route exists. The PASS claim is a false negative,FALSE_NEGATIVE
C10,N05,no Firebase Storage in the project at all,grep scoped to mobile/lib and firebase.json,grep widened to functions/src,"Storage is used read-only for signing licensed clips (video_urls.ts:40,174). No user content is stored there; progress photos are device-local and encrypted (photo_directory.dart, photo_key_store.dart). Conclusion survives, evidence does not",CORRECTED
C11,PASS: 196 providers declared,count claim,regex over lib/,re-run with comments stripped,196 reproduces exactly,REPRODUCED_VERIFIED
C12,NEW,safetyVerdictProvider and draftSafetyVerdictProvider are dead,not claimed by the first audit,"comment-stripped occurrence counting, verified by raw grep","Both are declared in safety_providers.dart (:17, :31), fully implemented, and referenced only by doc comments in eligibility_providers.dart. Nothing watches either. The screening verdict has a second, live path through the eligibility layer, so this is duplication rather than an unscreened user - but it is dead safety code",FALSE_NEGATIVE
