equipment_id,name,manufacturer,category,alias_count,aliases,exercise_count,scanner_model_class,status
treadmill,Treadmill,Any,cardio,5,running machine|treadmill|бегова дорожка|беговая дорожка|дорожка,3,True,MODEL_RECOGNISED
rowing_machine,Rowing machine,Any,cardio,8,concept2|erg|ergometer|rower|rowing machine|гребля|гребной|гребной тренажёр,3,True,MODEL_RECOGNISED
squat_rack,Squat rack,Any,strength,9,half rack|power cage|power rack|rack|squat rack|рама|силовая рама|стойка для приседаний|стойки,39,True,MODEL_RECOGNISED
bench_press,Weight bench,Any,strength,6,bench press|bench press station|жим лежа|жим лёжа|жим лёжа (стойка)|стойка для жима,254,False,MANUAL_ONLY
cable_machine,Cable machine,Any,strength,11,cable crossover|cable machine|cable station|crossover|dual pulley|functional trainer|блоки|блочная рама|блочный тренажёр|блочный тренажёр (кроссовер)|кроссовер,110,True,MODEL_RECOGNISED
leg_press,Leg press,Any,strength,6,45 degree leg press|leg press|sled press|жим ногами|жим платформы|платформа,11,True,MODEL_RECOGNISED
lat_pulldown,Lat pulldown,Any,strength,6,lat machine|lat pulldown|pulldown|вертикальная тяга|верхняя тяга|тяга верхнего блока,16,True,MODEL_RECOGNISED
barbell,Barbell,Any,free_weights,4,barbell|olympic bar|гриф|штанга,165,True,MODEL_RECOGNISED
dumbbell,Dumbbells,Any,free_weights,5,dumbbell|dumbbells|гантели|гантель|гантельный ряд,209,True,MODEL_RECOGNISED
kettlebell,Kettlebell,Any,free_weights,3,kettlebell|гири|гиря,61,True,MODEL_RECOGNISED
elliptical,Elliptical trainer,Any,cardio,6,cross trainer|elliptical|elliptical trainer|орбитрек|эллипс|эллиптический тренажёр,3,False,MANUAL_ONLY
exercise_bike,Exercise bike,Any,cardio,9,exercise bike|indoor cycle|spin bike|stationary bike|upright bike|велосипед|велотренажер|велотренажёр|сайкл,1,False,MANUAL_ONLY
recumbent_bike,Recumbent bike,Any,cardio,3,recumbent bike|горизонтальный велосипед|горизонтальный велотренажёр,0,False,NO_EXERCISES
stair_climber,Stair climber,Any,cardio,8,stair climber|stairmaster|stepmill|stepper|клаймбер|лестница|степпер|степпер / лестница,1,False,MANUAL_ONLY
air_bike,Air bike,Any,cardio,7,air bike|airdyne|assault bike|fan bike|ассолт байк|аэробайк|эйрбайк,3,False,MANUAL_ONLY
ski_erg,Ski erg,Any,cardio,4,ski erg|skierg|лыжи|лыжный тренажёр,14,False,MANUAL_ONLY
smith_machine,Smith machine,Any,strength,5,smith|smith machine|машина смита|смит|тренажёр смита,15,False,MANUAL_ONLY
hack_squat_machine,Hack squat machine,Any,strength,5,hack squat|hack squat machine|гакк|гакк приседания|гакк-машина,2,False,MANUAL_ONLY
leg_extension,Leg extension machine,Any,strength,5,leg extension|leg extension machine|quad extension|разгибание ног|разгибания ног,4,False,MANUAL_ONLY
leg_curl,Leg curl machine,Any,strength,7,hamstring curl|leg curl|leg curl machine|lying leg curl|seated leg curl|сгибание ног|сгибания ног,8,False,MANUAL_ONLY
hip_abductor_adductor,Hip abductor / adductor machine,Any,strength,10,abductor machine|adductor machine|hip abductor|hip abductor / adductor machine|hip adductor|thigh machine|разведение ног|сведение / разведение ног|сведение ног|сведение разведение ног,4,False,MANUAL_ONLY
