screen,figma_reference,production_file,visual_match,content_match,behavior_match,navigation_match,missing_states,severity,status,notes
Home,not present in this repository,mobile/lib/features/home/home_page.dart,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,INFO,UNAVAILABLE,"No Figma file, export, or design-token handoff exists in the working tree. docs/Redisign/ holds prose specs, not a comparable design source. Closing this needs the Figma file or a published design-token export."
Scanner,not present in this repository,mobile/lib/features/scanner/scanner_page.dart,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,INFO,UNAVAILABLE,"No Figma file, export, or design-token handoff exists in the working tree. docs/Redisign/ holds prose specs, not a comparable design source. Closing this needs the Figma file or a published design-token export."
Equipment,not present in this repository,mobile/lib/features/equipment/equipment_detail_page.dart,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,INFO,UNAVAILABLE,"No Figma file, export, or design-token handoff exists in the working tree. docs/Redisign/ holds prose specs, not a comparable design source. Closing this needs the Figma file or a published design-token export."
Exercise Page,not present in this repository,mobile/lib/features/equipment/widgets/exercise_reference.dart,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,INFO,UNAVAILABLE,"No Figma file, export, or design-token handoff exists in the working tree. docs/Redisign/ holds prose specs, not a comparable design source. Closing this needs the Figma file or a published design-token export."
Workout Player,not present in this repository,mobile/lib/features/equipment/workout_player_page.dart,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,INFO,UNAVAILABLE,"No Figma file, export, or design-token handoff exists in the working tree. docs/Redisign/ holds prose specs, not a comparable design source. Closing this needs the Figma file or a published design-token export."
Rest Timer,not present in this repository,mobile/lib/features/workouts/state/rest_timer_providers.dart,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,INFO,UNAVAILABLE,"No Figma file, export, or design-token handoff exists in the working tree. docs/Redisign/ holds prose specs, not a comparable design source. Closing this needs the Figma file or a published design-token export."
Form Check,not present in this repository,mobile/lib/features/form_check/form_check_page.dart,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,INFO,UNAVAILABLE,"No Figma file, export, or design-token handoff exists in the working tree. docs/Redisign/ holds prose specs, not a comparable design source. Closing this needs the Figma file or a published design-token export."
Summary,not present in this repository,mobile/lib/features/workouts/,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,INFO,UNAVAILABLE,"No Figma file, export, or design-token handoff exists in the working tree. docs/Redisign/ holds prose specs, not a comparable design source. Closing this needs the Figma file or a published design-token export."
Progress,not present in this repository,mobile/lib/features/progress/,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,INFO,UNAVAILABLE,"No Figma file, export, or design-token handoff exists in the working tree. docs/Redisign/ holds prose specs, not a comparable design source. Closing this needs the Figma file or a published design-token export."
Progress Photo Compare,not present in this repository,mobile/lib/features/progress_photos/,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,INFO,UNAVAILABLE,"No Figma file, export, or design-token handoff exists in the working tree. docs/Redisign/ holds prose specs, not a comparable design source. Closing this needs the Figma file or a published design-token export."
