finding_id,severity,domain,title,root_cause,gate,tier,blocked_by,status,notes
F013,BLOCKER,INJURY SAFETY,Injury filter fails open on untagged rows,RC8,visibility interim via G-A/A4; fix itself blocked,0,D1,CONTESTED,Do not flip exercise_filter.dart:38 to fail-closed before D1 answers; G-A/A4 makes the gap visible meanwhile regardless of the answer
F014,BLOCKER,HEALTH DATA,No pregnancy path exists anywhere,RC8,none - mechanism ready pending decision,0,D2,OPEN_DECISION_REQUIRED,Mechanism is small and scoped: one ephemeral question routed to existing wholePersonBlocks; only wording/scope needs the operator
F015,BLOCKER,PROGRAMME GENERATION,Spec-less enrolment bypasses the whole-person safety gate,RC1 + RC4,G-B (partly: B1) then G-E (fully),4 then 5,none,PARTIALLY_FIXED_GB,"B1 landed: the whole-person gate is hoisted above the spec/fallback branch and throws ProgrammeNotViable(blockedBySafety); the fallback catalogue now goes through eligibleExercises. Mutation-checked. Remains PARTIAL by design - G-E removes the fallback entirely."
F016,CRITICAL,AI COACH,AI can invent an exercise that reaches the user unchecked,RC2,G-C,3,none,FIXED_BY_REMEDIATION,"MachineCardView now withholds the model-written uses[] list for any user with something to screen against (an ANSWERED whole-person block, injuries, or a movement restriction) and states why. NOTE: deliberately did NOT use the plan's proposed catalogue-match mechanism - MachineDescriber runs only for machines the catalogue lacks, so a catalogue match would suppress the list for everyone and delete the feature. Used the injury-gating pattern from equipment_providers.dart:481-482 instead, which is the precedent the plan itself cited. 6 new widget tests; mutation-checked. See DECISION_LOG 2026-08-17 for the full reasoning and a second correction caught mid-implementation."
F017,CRITICAL,INJURY SAFETY,Chest-pain refusal carries no urgency,RC3,G-A (A2),1,none,FIXED_BY_REMEDIATION,"Fixed commit 8bf16d2: safety_refusal_card.dart and eligibility_notice.dart both swap to urgent icon/title/body when a reason names ParQQuestion.chestPain. Mutation-tested; both screens verified reachable in the G-A regression pass (2026-08-17)."
F018,CRITICAL,ONBOARDING,False safety claim sits above health fields that reach no filter,RC3,G-A (A3),1,none,FIXED_BY_REMEDIATION,"Fixed commit 9c7a3e1: onboardingWeUseThisToKeepYour corrected to state the fields are reference-only. Audit record corrected in the same commit: showTitle:false at the only call site meant the false claim was never actually reachable pre-fix, but the underlying falsehood was real and is now gone regardless."
F019,HIGH,INJURY SAFETY,safetyFilterCoverage is authored and never rendered,RC3,G-A (A4),1,none,FIXED_BY_REMEDIATION,"Fixed commit 7d204b2: SafetyDisclosure now renders the tagged/total figure via catalogSafetyCoverageProvider when !compact. Mutation-tested."
F020,HIGH,INJURY SAFETY,SafetyDisclosure renders on one screen while the caution badge ships on two others,RC1 + RC3,G-A (A5) + G-B (B5),1 and 4,none,FIXED_BY_REMEDIATION,"Both halves closed. Render half commit 71f5cc5 (disclosure on all three exercise-detail surfaces). Routing half in G-B/B5: every Library chip now runs eligibleExercises, not just the injury filter - previously only For-you did. Mutation-checked per half."
F021,HIGH,PROGRAMME GENERATION,Fallback scheduler picks alphabetically adjacent exercises,RC4,G-E,5,none,OPEN_REPRODUCED,
F022,HIGH,PROGRAMME GENERATION,Fallback repeats three of four exercises between consecutive days,RC4,G-E,5,none,REPRODUCED_VERIFIED,"programme_schedule.dart:118 re-read this session: _fillDay's startAt is (week + slot) % pool.length - confirmed unfixed. Note: the muscle-selection index two lines up (line 111) WAS already fixed with the correct (week*slotsPerWeek+slot) pattern; the fillDay startAt param was missed by that same earlier fix, which is exactly the kind of drift G-E's rewrite needs to close for good"
