finding_id,severity,domain,feature,title,status,evidence_class,affected_files,exact_lines,documented_claim,actual_behavior,user_impact,health_safety_impact,privacy_impact,financial_impact,confidence,minimal_fix,minimal_test,reviewer,second_reviewer
F013,BLOCKER,INJURY SAFETY,Contraindication filter,The exercise-level injury filter fails open on untagged rows,VERIFIED,CODE + DATA,mobile/lib/features/equipment/data/exercise_filter.dart; mobile/lib/features/safety/data/eligibility.dart,exercise_filter.dart:38; eligibility.dart:282-289,Lists are screened against the injuries the user reported,"An exercise with no contraindication tags is declared not contraindicated and served. 360 of 1,887 rows carry no tag, so 19.1% of the catalogue cannot be withheld from anyone by any injury or movement restriction, on any surface","An injured user is served movements that load the injured area, on a list the UI says was screened",Direct: the safety promise is unmet for a fifth of the catalogue,none,none,high,"Ship untagged rows behind an explicit unscreenable state yielding Degraded plus a per-list caveat, or exclude them from recommending surfaces","eligibleExercises([untaggedRow], kneeInjuryContext) returns Degraded or empty, not Allowed. Mutation: restore the early return false, test goes red",clinical-safety-gate,orchestrator (confirmed against source)
F014,BLOCKER,HEALTH DATA,Pregnancy,No pregnancy or postpartum path exists anywhere,VERIFIED (absence),CODE + DATA,mobile/lib/features/safety/data/par_q.dart; mobile/lib/features/safety/data/health_flags.dart; mobile/assets/data/exercises_vendor.json,par_q.dart:52-85; health_flags.dart:45-84,The app screens the whole person before prescribing exercise,"Never asked, never inferred, never filtered, never warned. Two tests use pregnancy specifically as an INVALID value. cycle_phase.dart:56-64 records a deliberate decision not to hold a pregnancy status, which is defensible - but declining to store it is not declining to generate a plan",A pregnant or early-postpartum user receives a full unmodified programme including loaded spinal flexion and supine work,Direct and severe,none,none,"high (absence) / medium (harm, INFERENCE)","One self-reported question persisting only a boolean, routed to wholePersonBlocks with a referral - the shape SurgeryStatus.underRestrictions already uses. Holds no medical category",SafetyContext(pregnancy: yes).allowsAnyTraining == false and buildPlan returns PlanRefused,clinical-safety-gate,orchestrator (confirmed against source)
F015,BLOCKER,PROGRAMME GENERATION,Spec-less enrolment,The questionnaire-built programme bypasses the whole-person safety gate,VERIFIED,CODE,mobile/lib/features/programmes/state/programme_providers.dart; mobile/lib/features/programmes/data/programme_schedule.dart,programme_providers.dart:199-206; programme_schedule.dart:62-67,buildPlan and buildProgramme both refuse when !safety.allowsAnyTraining,"programmeSpecFor returns null for from_answers, shred_endurance and shoulders_arms, so enrolment falls through to buildProgrammeSchedule, which takes no SafetyContext argument at all. Its catalogue applies the injury filter only","A user refused training by PAR-Q+, by clinician advice, or under post-operative restrictions can still enrol and receive 24 scheduled sessions written to storage",Direct: the refusal state the product built is skipped on its default path,none,none,high,Hoist the allowsAnyTraining refusal above the spec branch and pass eligibleExercises into the fallback,Enrol from_answers with a screening-blocked profile; assert zero ScheduledSession rows and a stated refusal,recommendation-adversary + clinical-safety-gate (independent),orchestrator (confirmed against source)
F016,CRITICAL,AI COACH,Machine describer,The AI can invent an exercise and it reaches the user with no catalogue or safety validation,VERIFIED,CODE,mobile/lib/features/visual_equipment/data/machine_describer.dart; mobile/lib/features/visual_equipment/widgets/machine_card_view.dart,"machine_describer.dart:105-123,165-177; machine_card_view.dart:93-101; main.dart:473",Exercise guidance comes from a curated catalogue,"parseDescription validates only is-a-string, non-empty, at most 120 chars, deduped, capped at 5. No catalogue check, no injury screen, no equipment check, no disclaimer on the card","Free-text model output is presented as what the user can do on a machine, including to a user with a reported injury",The text never touches the eligibility layer,none,none,high,Match uses against the catalogue or aliases and render only matched rows; otherwise render summary alone with an explicit not-from-our-library line,Stub CloudAsk returning an invented movement; assert the card renders no uses or flags them,recommendation-adversary,orchestrator (confirmed against source)
F017,CRITICAL,INJURY SAFETY,Refusal copy,The chest-pain block carries no urgent-evaluation message,VERIFIED,CODE,mobile/lib/features/safety/data/par_q.dart; mobile/lib/l10n/app_en.arb,par_q.dart:123-126; app_en.arb:2146; eligibility_notice.dart:113-120,PAR-Q+ blocking answers route the user to a professional,"A user reporting pain in the chest at rest gets the same routine wording as every other blocking answer, and on non-onboarding surfaces only No sessions right now",A user with a cardiac symptom is given non-urgent phrasing,Potentially severe,none,none,high,Branch the refusal copy on kBlockingQuestions membership; chest pain gets urgent wording and a localisable emergency route,"Widget test: verdict blocked by chestPain renders the urgent string, blocked by medicallySupervisedOnly does not",clinical-safety-gate,orchestrator
F018,CRITICAL,ONBOARDING,Health snapshot copy,A safety claim sits above health fields that reach no filter,VERIFIED,CODE,mobile/lib/l10n/app_en.arb; mobile/lib/features/onboarding/steps/step_health.dart,app_en.arb:212; step_health.dart:97-110; plan_builder.dart:169-174,We use this to keep your plan safe,"The subtitle sits directly above the conditions, allergies and medications fields. None of the three reaches any filter. healthStepIntro two steps later states the opposite","The user is told sensitive data protects them, and it does nothing",A false safety claim at the point of collection,Sensitive data collected under a false purpose,none,high,Remove or requalify the subtitle so it matches healthStepIntro,Assert step_health does not render a string claiming the fields keep the plan safe,medical-boundary sweep,orchestrator (confirmed against source)
F019,HIGH,INJURY SAFETY,Coverage disclosure,"The only honest coverage string is written, translated and never rendered",VERIFIED,CODE,mobile/lib/l10n/app_en.arb; mobile/lib/l10n/app_ru.arb; mobile/lib/features/equipment/widgets/safety_disclosure.dart,app_en.arb:1673; app_ru.arb:942; safety_coverage_providers.dart:83,X of Y exercises are tagged for injury screening,Zero render sites - grep over mobile/lib returns only the two .arb definitions. The provider that computes it exists,The one number that would reveal the 360 untagged rows is never shown,Compounds F013,none,none,high,Render it in SafetyDisclosure from catalogSafetyCoverageProvider,Widget test asserting the rendered disclosure contains the tagged and total figures,clinical-safety-gate + medical-boundary sweep,orchestrator (confirmed)
F020,HIGH,INJURY SAFETY,Disclosure coverage,SafetyDisclosure renders on one screen while the per-item caution badge ships on two others,VERIFIED,CODE,mobile/lib/features/equipment/equipment_detail_page.dart; mobile/lib/features/equipment/widgets/exercise_reference.dart,"equipment_detail_page.dart:167,178 (only sites); exercise_reference.dart:1119; workout_player_page.dart:299",safety_disclosure.dart:14-18 argues that badging conflicting exercises implies the un-badged ones were checked and cleared,The badge ships on two screens; the counter-disclosure ships on neither. Six exercise-serving surfaces carry no disclosure at all,The user infers clearance from the absence of a badge,Compounds F013,none,none,high,Render SafetyDisclosure on every surface that serves an exercise list,Widget test per surface asserting the disclosure is present,medical-boundary sweep,orchestrator (confirmed)
F021,HIGH,PROGRAMME GENERATION,Fallback scheduler,The default programme path selects alphabetically adjacent exercises,VERIFIED,CODE + DATA,mobile/lib/features/programmes/data/programme_schedule.dart,"programme_schedule.dart:183-197,118",programme_builder.dart:5-16 documents this defect as fixed,"_fillDay takes pool[startAt] and walks consecutive indices of an id-sorted pool. Every catalogue row is durationMinutes 10, so a 45-minute session is exactly four adjacent rows. Day 0 is two yoga poses, a sit-up and a plyometric jump, for any goal",The one surface claiming to be built from the user answers is the least structured path in the app,none directly,none,none,high,"Add a ProgrammeSpec for the profile programme so the null branch is unreachable, then delete the fallback",Enrol with goal=strength; assert movementRoleOf covers at least 4 primary strength roles across a week,recommendation-adversary,orchestrator (confirmed against source)
F022,HIGH,PROGRAMME GENERATION,Fallback repetition,The fallback repeats three of four exercises between consecutive days,VERIFIED,CODE,mobile/lib/features/programmes/data/programme_schedule.dart,programme_schedule.dart:118,_fillDay never repeats within a day,"startAt is (week + slot) % pool.length, so day 0 and day 1 overlap by three. week+slot also collides across weeks, so eight weeks draw on a window of about ten exercises","The same four movements on Monday, Wednesday and Friday under a programme that promised variety",none,none,none,high,"Use (week * slotsPerWeek + slot) * picked.length as the stride, or route everything through buildProgramme",Build a 3-day 4-week fallback programme; assert pairwise session id-set overlap at most 1,recommendation-adversary,orchestrator
