id,title,group,priority,has_purpose,visual_status,issue_code,field,finding,recommended_action,verified,verification_note,gate_e_label,gate_e_note
ea_45_degree_bicycle_twist_knee_to_elbow,45 Degree Bicycle Twist Knee to Elbow,Abdominals,P2,False,NOT_VERIFIED,DUPLICATE_STEPS,Title↔Steps,"Steps are exactly identical to another differently named exercise: 45 Degree Bicycle Twist Knee to Elbow, 45 Degree Bicycle Twisting.","Check whether these are true variants. If the movement differs, rewrite the distinguishing setup/execution cue; if identical, consider alias/dedup metadata.",REAL,Confirmed identical Steps text vs named sibling(s),DEDUP_CANDIDATE,"Steps say ""bend your knee...bringing your opposite elbow towards it"" = knee-to-elbow contact; ""Twisting"" title omits the detail but describes the identical movement -> redundant catalog row, not a distinct exercise"
ea_45_degree_bicycle_twisting,45 Degree Bicycle Twisting,Abdominals,P2,False,NOT_VERIFIED,DUPLICATE_STEPS,Title↔Steps,"Steps are exactly identical to another differently named exercise: 45 Degree Bicycle Twist Knee to Elbow, 45 Degree Bicycle Twisting.","Check whether these are true variants. If the movement differs, rewrite the distinguishing setup/execution cue; if identical, consider alias/dedup metadata.",REAL,Confirmed identical Steps text vs named sibling(s),DEDUP_CANDIDATE,"Steps say ""bend your knee...bringing your opposite elbow towards it"" = knee-to-elbow contact; ""Twisting"" title omits the detail but describes the identical movement -> redundant catalog row, not a distinct exercise"
ea_90_degree_heel_touch,90 Degree Heel Touch,Abdominals,P2,False,NOT_VERIFIED,DUPLICATE_STEPS,Steps; Title↔Steps,"Steps are exactly identical to another differently named exercise: 90 Degree Heel Touch, 90 Degree Heels Touch.","Check whether these are true variants. If the movement differs, rewrite the distinguishing setup/execution cue; if identical, consider alias/dedup metadata.",REAL,Confirmed identical Steps text vs named sibling(s),DEDUP_CANDIDATE,"near-identical titles (ratio=0.98), diff words: ['heel', 'heels']"
ea_90_degree_heels_touch,90 Degree Heels Touch,Abdominals,P2,False,NOT_VERIFIED,DUPLICATE_STEPS,Steps; Title↔Steps,"Steps are exactly identical to another differently named exercise: 90 Degree Heel Touch, 90 Degree Heels Touch.","Check whether these are true variants. If the movement differs, rewrite the distinguishing setup/execution cue; if identical, consider alias/dedup metadata.",REAL,Confirmed identical Steps text vs named sibling(s),DEDUP_CANDIDATE,"near-identical titles (ratio=0.98), diff words: ['heel', 'heels']"
ea_alternate_leg_raise_from_reverse_plank_position,Alternate Leg Raise From Reverse Plank Position,Abdominals,P1,False,NOT_VERIFIED,FORCED_ROM,Steps,Unqualified maximum-range cue may push a user beyond the range they can control without symptoms or compensation.,"Use the largest controlled, pain-free range available without compensation; regress range if alignment or symptoms deteriorate.",REAL,"Unqualified ROM cue: ""...maximum range while keeping them straight""",CONTENT_DEFECT,"Gate E: confirmed, no qualifier near ""maximum range"" cue"
ea_diagonal_chop_cable,Diagonal Chop Cable,Abdominals,P1,False,NOT_VERIFIED,EQUIPMENT_TEXT_CONFLICT,Title↔Steps,Title equipment (cable) conflicts with equipment explicitly named in Steps (band).,Verify the poster/vendor source; then align title and Steps to the same implement. Do not auto-map this without visual confirmation.,REAL,"equipmentLabel=""Sled"" conflicts with poster/Steps showing a box (direction of the original finding text was backwards, but the underlying conflict is real)",METADATA_DEFECT,"Gate E: reclassified from EQUIPMENT_TEXT_CONFLICT -- equipmentId correct, only equipmentLabel null; recommend new code EQUIPMENT_METADATA_MISSING"
ea_reverse_plank,Reverse Plank,Abdominals,P2,True,PASS,PRIOR_REAUDIT,Purpose/Steps,This card was not materially changed in REV2 for the prior finding(s); the previous finding remains open.,Use neutral wording about the movement/muscles; avoid claiming one exercise reverses a lifestyle/postural problem without assessment.,REAL,Gate A vs SPTR_H3_REV2_ACTION_REGISTER_2026-08-15.md: lifestyle words: ['desk'],FALSE_POSITIVE,"Gate E: lifestyle/comparative trigger word matched in a non-causal, non-comparative sentence (setup mechanics, programming-timing advice, or hedged rationale)"
ea_45_degree_hyperextension_arms_in_front_of_chest,45 Degree Hyperextension (arms in Front of Chest),Back,P2,False,NOT_VERIFIED,DUPLICATE_STEPS,Steps; Title↔Steps,"Steps are exactly identical to another differently named exercise: 45 Degree Hyperextension (arms in Front of Chest), 45 Degree Hyperextension Arms to Chest, Back Extension Machine.","Check whether these are true variants. If the movement differs, rewrite the distinguishing setup/execution cue; if identical, consider alias/dedup metadata.",REAL,Confirmed identical Steps text vs named sibling(s),DEDUP_CANDIDATE,"Steps say ""Place your arms across your chest"" for all 3; ""in Front of Chest"" vs ""to Chest"" is the same arm position restated, ""Back Extension Machine"" is the generic machine name for the identical movement -> redundant rows"
ea_45_degree_hyperextension_arms_to_chest,45 Degree Hyperextension Arms to Chest,Back,P2,False,NOT_VERIFIED,DUPLICATE_STEPS,Steps; Title↔Steps,"Steps are exactly identical to another differently named exercise: 45 Degree Hyperextension (arms in Front of Chest), 45 Degree Hyperextension Arms to Chest, Back Extension Machine.","Check whether these are true variants. If the movement differs, rewrite the distinguishing setup/execution cue; if identical, consider alias/dedup metadata.",REAL,Confirmed identical Steps text vs named sibling(s),DEDUP_CANDIDATE,"Steps say ""Place your arms across your chest"" for all 3; ""in Front of Chest"" vs ""to Chest"" is the same arm position restated, ""Back Extension Machine"" is the generic machine name for the identical movement -> redundant rows"
ea_assisted_chin_up_normal_width_reverse_grip,Assisted Chin Up Normal Width Reverse Grip,Back,P2,False,NOT_VERIFIED,DUPLICATE_STEPS,Title↔Steps,"Steps are exactly identical to another differently named exercise: Assisted Chin Up Normal Width Reverse Grip, Assisted Close Grip Underhand Chin Up.","Check whether these are true variants. If the movement differs, rewrite the distinguishing setup/execution cue; if identical, consider alias/dedup metadata.",REAL,Confirmed identical Steps text vs named sibling(s),REAL_DEFECT,"Title claims a grip-WIDTH distinction (normal vs close) but both Steps say ""hands...at shoulder-width apart"" -- the close-grip variant's steps do not reflect a closer-than-shoulder-width hand position; needs its own distinguishing cue"
ea_assisted_close_grip_underhand_chin_up,Assisted Close Grip Underhand Chin Up,Back,P2,False,NOT_VERIFIED,DUPLICATE_STEPS,Title↔Steps,"Steps are exactly identical to another differently named exercise: Assisted Chin Up Normal Width Reverse Grip, Assisted Close Grip Underhand Chin Up.","Check whether these are true variants. If the movement differs, rewrite the distinguishing setup/execution cue; if identical, consider alias/dedup metadata.",REAL,Confirmed identical Steps text vs named sibling(s),REAL_DEFECT,"Title claims a grip-WIDTH distinction (normal vs close) but both Steps say ""hands...at shoulder-width apart"" -- the close-grip variant's steps do not reflect a closer-than-shoulder-width hand position; needs its own distinguishing cue"
ea_assisted_pull_up,Assisted Pull Up,Back,P2,False,NOT_VERIFIED,DUPLICATE_STEPS,Title↔Steps,"Steps are exactly identical to another differently named exercise: Assisted Pull Up, Assisted Pull Up Normal Grip.","Check whether these are true variants. If the movement differs, rewrite the distinguishing setup/execution cue; if identical, consider alias/dedup metadata.",REAL,Confirmed identical Steps text vs named sibling(s),DEDUP_CANDIDATE,"""Normal Grip"" restates the base overhand/shoulder-width grip already in Steps -- not a distinguishing claim"
ea_assisted_pull_up_normal_grip,Assisted Pull Up Normal Grip,Back,P2,False,NOT_VERIFIED,DUPLICATE_STEPS,Title↔Steps,"Steps are exactly identical to another differently named exercise: Assisted Pull Up, Assisted Pull Up Normal Grip.","Check whether these are true variants. If the movement differs, rewrite the distinguishing setup/execution cue; if identical, consider alias/dedup metadata.",REAL,Confirmed identical Steps text vs named sibling(s),DEDUP_CANDIDATE,"""Normal Grip"" restates the base overhand/shoulder-width grip already in Steps -- not a distinguishing claim"
ea_back_extension_machine,Back Extension Machine,Back,P2,False,NOT_VERIFIED,DUPLICATE_STEPS,Steps; Title↔Steps,"Steps are exactly identical to another differently named exercise: 45 Degree Hyperextension (arms in Front of Chest), 45 Degree Hyperextension Arms to Chest, Back Extension Machine.","Check whether these are true variants. If the movement differs, rewrite the distinguishing setup/execution cue; if identical, consider alias/dedup metadata.",REAL,Confirmed identical Steps text vs named sibling(s),DEDUP_CANDIDATE,"Steps say ""Place your arms across your chest"" for all 3; ""in Front of Chest"" vs ""to Chest"" is the same arm position restated, ""Back Extension Machine"" is the generic machine name for the identical movement -> redundant rows"
ea_barbell_bent_over_row_pronated_grip,Barbell Bent Over Row Pronated Grip,Back,P2,False,NOT_VERIFIED,DUPLICATE_STEPS,Steps; Title↔Steps,"Steps are exactly identical to another differently named exercise: Barbell Bent Over Row Pronated Grip, Bent Over Barbell Row.","Check whether these are true variants. If the movement differs, rewrite the distinguishing setup/execution cue; if identical, consider alias/dedup metadata.",REAL,Confirmed identical Steps text vs named sibling(s),DEDUP_CANDIDATE,"Pronated (overhand) is the standard/default bent-over-row grip -- qualifier restates the default, not a distinguishing claim"
ea_barbell_deadlift_360_degrees,Barbell Deadlift 360 Degrees,Back,P2,False,NOT_VERIFIED,DUPLICATE_STEPS,Steps; Title↔Steps,"Steps are exactly identical to another differently named exercise: Barbell Deadlift 360 Degrees, Barbell Deadlift, Barbell Deadlift (front POV), Barbell Deadlift (side POV).","Check whether these are true variants. If the movement differs, rewrite the distinguishing setup/execution cue; if identical, consider alias/dedup metadata.",REAL,Confirmed identical Steps text vs named sibling(s),LEGITIMATE_VARIANT,"differs only by camera/view/angle words: ['360', 'degrees', 'front', 'pov', 'side']"
ea_barbell_wide_grip_upright_row,Barbell Wide Grip Upright Row,Back,P1,False,NOT_VERIFIED,UPRIGHT_ROW,Purpose/Steps,Upright-row tolerance varies with shoulder anatomy and range; rigid height or pain claims should be avoided.,"Use a comfortable range, avoid forcing elbows high, and stop if there is pinching at the front/top of the shoulder; offer lateral-raise/cable alternatives.",REAL,Title confirms upright-row movement pattern,FALSE_POSITIVE,"Gate E: required safety/hedge language already present in live text, or matched phrase is not the claimed causal/spine cue -- see chat evidence 2026-08-15"
