index,id,title,group,has_purpose,priority,visual_status,poster_ref_status,safety_tags,issue_codes,fields,findings,recommended_actions,original_purpose,proposed_purpose,original_steps,proposed_steps,poster_src
1,ea_3_4_sit_up,3-4 Sit-up,Abdominals,False,PASS,NOT_VERIFIED,PASS,lower_back; neck,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Lie on your back with your knees bent and your feet flat on the floor, hip-width apart || Place your hands behind your head, keeping your elbows wide || Engage your core and lift your upper body towards your knees, coming up about three-quarters of the way || Slowly lower your upper body back to the starting position and repeat","Lie on your back with your knees bent and your feet flat on the floor, hip-width apart || Place your hands behind your head, keeping your elbows wide || Engage your core and lift your upper body towards your knees, coming up about three-quarters of the way || Slowly lower your upper body back to the starting position and repeat",../../mobile/assets/posters/girl/ea_3_4_sit_up.jpg
2,ea_45_degree_bicycle_twist_knee_to_elbow,45 Degree Bicycle Twist Knee to Elbow,Abdominals,False,P2,NOT_VERIFIED,PASS,,DUPLICATE_STEPS,Title↔Steps,"Steps are exactly identical to another differently named exercise: 45 Degree Bicycle Twist Knee to Elbow, 45 Degree Bicycle Twisting.","Check whether these are true variants. If the movement differs, rewrite the distinguishing setup/execution cue; if identical, consider alias/dedup metadata.",[not written — H3 pending],[not generated in this audit — H3 pending],"Align yourself to 45 degrees to the floor by fixing your left foot into the footrest and supporting your thigh against the padded platform || Place your left hand behind your head and your right hand on your waist || Open your upper leg slightly and bend your knee while bringing your opposite elbow towards it || Return to the initial position, and repeat","Align yourself to 45 degrees to the floor by fixing your left foot into the footrest and supporting your thigh against the padded platform || Place your left hand behind your head and your right hand on your waist || Open your upper leg slightly and bend your knee while bringing your opposite elbow towards it || Return to the initial position, and repeat",../../mobile/assets/posters/men/ea_45_degree_bicycle_twist_knee_to_elbow.jpg
3,ea_45_degree_bicycle_twisting,45 Degree Bicycle Twisting,Abdominals,False,P2,NOT_VERIFIED,PASS,,DUPLICATE_STEPS,Title↔Steps,"Steps are exactly identical to another differently named exercise: 45 Degree Bicycle Twist Knee to Elbow, 45 Degree Bicycle Twisting.","Check whether these are true variants. If the movement differs, rewrite the distinguishing setup/execution cue; if identical, consider alias/dedup metadata.",[not written — H3 pending],[not generated in this audit — H3 pending],"Align yourself to 45 degrees to the floor by fixing your left foot into the footrest and supporting your thigh against the padded platform || Place your left hand behind your head and your right hand on your waist || Open your upper leg slightly and bend your knee while bringing your opposite elbow towards it || Return to the initial position, and repeat","Align yourself to 45 degrees to the floor by fixing your left foot into the footrest and supporting your thigh against the padded platform || Place your left hand behind your head and your right hand on your waist || Open your upper leg slightly and bend your knee while bringing your opposite elbow towards it || Return to the initial position, and repeat",../../mobile/assets/posters/girl/ea_45_degree_bicycle_twisting.jpg
4,ea_45_degree_bicycle_twisting_crunch,45 Degree Bicycle Twisting Crunch,Abdominals,False,PASS,NOT_VERIFIED,PASS,lower_back; neck,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Align yourself to 45 degrees to the floor by fixing your left foot into the footrest and supporting your thigh against the padded platform || Place your left hand behind your head and your right hand on your waist || Straighten your upper leg wide and bend your knee while twisting your torso and bringing the opposite elbow towards it || Return to the initial position, and repeat","Align yourself to 45 degrees to the floor by fixing your left foot into the footrest and supporting your thigh against the padded platform || Place your left hand behind your head and your right hand on your waist || Straighten your upper leg wide and bend your knee while twisting your torso and bringing the opposite elbow towards it || Return to the initial position, and repeat",../../mobile/assets/posters/girl/ea_45_degree_bicycle_twisting_crunch.jpg
5,ea_45_degree_side_bend,45 Degree Side Bend,Abdominals,False,P2,NOT_VERIFIED,PASS,,SPINE_CUE,Steps,Uses 'flat/straight back' as a rigid dynamic cue; for loaded hinges/rows/planks a stable neutral spine is clearer.,Use 'brace and maintain a stable/neutral spine' unless flat contact with a support is the actual goal.,[not written — H3 pending],[not generated in this audit — H3 pending],Place your feet one after the other onto the footrests and support your thigh against the platform || Place your hands behind your head and assume an upright position with a straight back || Crunch your torso toward the platform and then to the other side || Repeat while keeping yourself stable,"Place your feet one after the other onto the footrests and support your thigh against the platform || Place your hands behind your head and assume an upright position with a stable, neutral spine || Crunch your torso toward the platform and then to the other side || Repeat while keeping yourself stable",../../mobile/assets/posters/girl/ea_45_degree_side_bend.jpg
6,ea_45_degree_twisting_hyperextension,45 Degree Twisting Hyperextension,Abdominals,False,P2,NOT_VERIFIED,PASS,lower_back,VAGUE_HOLD,Steps,Uses vague timing ('hold for a while/few seconds').,"Use an explicit short pause such as 1–2 seconds, or a defined static-stretch duration when appropriate.",[not written — H3 pending],[not generated in this audit — H3 pending],"Fix your feet to the footrests and press your thighs against the padded platform || Place your hands behind your head and lean forward || Raise yourself by leaning backward and twisting your torso to a side || Hold for a while, return to the initial position, and repeat","Fix your feet to the footrests and press your thighs against the padded platform || Place your hands behind your head and lean forward || Raise yourself by leaning backward and twisting your torso to a side || pause briefly for 1–2 seconds, return to the initial position, and repeat",../../mobile/assets/posters/girl/ea_45_degree_twisting_hyperextension.jpg
7,ea_90_degree_heel_touch,90 Degree Heel Touch,Abdominals,False,P2,NOT_VERIFIED,PASS,,VAGUE_HOLD; DUPLICATE_STEPS,Steps; Title↔Steps,"Uses vague timing ('hold for a while/few seconds'). | Steps are exactly identical to another differently named exercise: 90 Degree Heel Touch, 90 Degree Heels Touch.","Use an explicit short pause such as 1–2 seconds, or a defined static-stretch duration when appropriate. | Check whether these are true variants. If the movement differs, rewrite the distinguishing setup/execution cue; if identical, consider alias/dedup metadata.",[not written — H3 pending],[not generated in this audit — H3 pending],"Lie down on your back with your hips and knees bent to 90 degrees and your arms extended overhead || Raise your upper back and bring your arms forward to touch your heels || Hold for a while, return to the initial position, and repeat","Lie down on your back with your hips and knees bent to 90 degrees and your arms extended overhead || Raise your upper back and bring your arms forward to touch your heels || pause briefly for 1–2 seconds, return to the initial position, and repeat",../../mobile/assets/posters/men/ea_90_degree_heel_touch.jpg
8,ea_90_degree_heels_touch,90 Degree Heels Touch,Abdominals,False,P2,NOT_VERIFIED,PASS,,VAGUE_HOLD; DUPLICATE_STEPS,Steps; Title↔Steps,"Uses vague timing ('hold for a while/few seconds'). | Steps are exactly identical to another differently named exercise: 90 Degree Heel Touch, 90 Degree Heels Touch.","Use an explicit short pause such as 1–2 seconds, or a defined static-stretch duration when appropriate. | Check whether these are true variants. If the movement differs, rewrite the distinguishing setup/execution cue; if identical, consider alias/dedup metadata.",[not written — H3 pending],[not generated in this audit — H3 pending],"Lie down on your back with your hips and knees bent to 90 degrees and your arms extended overhead || Raise your upper back and bring your arms forward to touch your heels || Hold for a while, return to the initial position, and repeat","Lie down on your back with your hips and knees bent to 90 degrees and your arms extended overhead || Raise your upper back and bring your arms forward to touch your heels || pause briefly for 1–2 seconds, return to the initial position, and repeat",../../mobile/assets/posters/girl/ea_90_degree_heels_touch.jpg
9,ea_ab_wheel_all_the_way_out,AB Wheel All the Way Out,Abdominals,False,PASS,NOT_VERIFIED,PASS,,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Start by kneeling on a mat with the ab wheel placed on the floor in front of you, holding it with both hands. Ensure your arms are extended and your back is straight || Roll the ab wheel forward, extending your body into a straight line while keeping your core engaged and your hips slightly extended backward || Roll the ab wheel back to the starting position, using your core muscles to control the movement and maintain stability || Repeat the movement, extending fully and returning to the starting position each time","Start by kneeling on a mat with the ab wheel placed on the floor in front of you, holding it with both hands. Ensure your arms are extended and your back is straight || Roll the ab wheel forward, extending your body into a straight line while keeping your core engaged and your hips slightly extended backward || Roll the ab wheel back to the starting position, using your core muscles to control the movement and maintain stability || Repeat the movement, extending fully and returning to the starting position each time",../../mobile/assets/posters/girl/ea_ab_wheel_all_the_way_out.jpg
10,ea_ab_wheel_halfway_out,AB Wheel Halfway Out,Abdominals,False,PASS,NOT_VERIFIED,PASS,,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Start by kneeling on a mat with the ab wheel placed on the floor in front of you, holding it with both hands. Ensure your arms are extended and your back is straight || Roll the ab wheel forward, extending your body halfway while keeping your core engaged and your hips slightly extended backward || Roll the ab wheel back to the starting position, using your core muscles to control the movement and maintain stability || Repeat the movement, extending halfway and returning to the starting position each time","Start by kneeling on a mat with the ab wheel placed on the floor in front of you, holding it with both hands. Ensure your arms are extended and your back is straight || Roll the ab wheel forward, extending your body halfway while keeping your core engaged and your hips slightly extended backward || Roll the ab wheel back to the starting position, using your core muscles to control the movement and maintain stability || Repeat the movement, extending halfway and returning to the starting position each time",../../mobile/assets/posters/girl/ea_ab_wheel_halfway_out.jpg
