finding_id,severity,title,original_claim,reproduction_method,result,second_reviewer,severity_review,final_status
F013,BLOCKER,Injury filter fails open on untagged rows,exercise_filter.dart:38 returns false when contraindications is empty; 360 of 1887 rows untagged,Re-read exercise_filter.dart:35-45 and eligibility.dart:282-289 at current HEAD; recounted the asset from zero,"Line 38 is `if (exercise.contraindications.isEmpty) return false;` verbatim. Untagged count is exactly 360, share 19.1%",orchestrator + blinded adversary (pending),BLOCKER upheld,REPRODUCED_VERIFIED
F014,BLOCKER,No pregnancy path exists,"Not asked, not inferred, not filtered, not warned",Enumerated ParQQuestion (7 values) and MovementRestriction (9 values); grepped pregnan* across lib/,Neither enum contains a pregnancy value. The only two hits in lib/ are comments in cycle_phase.dart explaining the deliberate decision not to hold the status,orchestrator,BLOCKER upheld - but see note,REPRODUCED_VERIFIED
F015,BLOCKER,Spec-less programme enrolment bypasses the whole-person gate,buildProgrammeSchedule is called with no SafetyContext,Read programme_providers.dart:199-206 directly,"The else-branch passes programme, catalogue, sessionMinutes, preferredWeekdays. No safety argument exists on the function",orchestrator + two first-audit reviewers independently,BLOCKER upheld,REPRODUCED_VERIFIED
F016,CRITICAL,AI can invent an exercise that reaches the user,"parseDescription validates shape only, never the catalogue",Read machine_describer.dart:165-177 and machine_card_view.dart:93-101,"Validation is is-a-string, non-empty, <=120 chars, dedupe, cap 5. No catalogue check. Rendered under ""What you can do on it""",orchestrator,CRITICAL upheld,REPRODUCED_VERIFIED
F017,CRITICAL,Chest-pain refusal carries no urgency,Routine referral wording for a cardiac symptom,Read par_q.dart:123-126 and app_en.arb:2146,Confirmed at source,orchestrator,CRITICAL upheld,REPRODUCED_VERIFIED
F018,CRITICAL,Safety claim above health fields that reach no filter,"""We use this to keep your plan safe"" over conditions/allergies/medications",Read step_health.dart:95-112 and app_en.arb:212,The subtitle sits directly above the three fields; none reaches a filter,orchestrator,CRITICAL upheld,REPRODUCED_VERIFIED
F019,HIGH,safetyFilterCoverage never rendered,"Authored, translated, computed, zero render sites",grep safetyFilterCoverage over mobile/lib,Only the two .arb definitions match,orchestrator,HIGH upheld,REPRODUCED_VERIFIED
F020,HIGH,SafetyDisclosure renders on one screen,"One screen, while the per-item caution badge ships on two others","grep ""SafetyDisclosure("" over mobile/lib","Two call sites, both in equipment_detail_page.dart",orchestrator,HIGH upheld,REPRODUCED_VERIFIED
F021,HIGH,Fallback scheduler picks alphabetically adjacent exercises,_fillDay walks consecutive indices of an id-sorted pool,Read programme_schedule.dart:179-198,Confirmed: pool[startAt] then (startAt + step) % pool.length. All rows are 10 minutes,orchestrator + strength reviewer (first audit),HIGH upheld,REPRODUCED_VERIFIED
F001,HIGH,Difficulty gradation does not exist as data,"""any filter or selection by level is fiction""","Traced every consumer of ExerciseDifficulty and .difficulty across lib/, then traced the consumers of the consumer","sortByTierFit is inert. fitness_model.dart:115-131 does build a per-muscle estimate from post-session DifficultyRating - but fitnessProfileProvider (personalisation_providers.dart:12) is DEAD: only two doc-comment mentions besides its own declaration, nothing watches it. The signal is computed into a void",orchestrator,DOWNGRADE REVERTED - see METHODOLOGY_ERROR_REGISTER E05. The first audit was right; my correction was the error,REPRODUCED_VERIFIED
F003,MEDIUM,14 questionnaire fields reach no engine,14 of 37 fields,"Occurrence counting outside onboarding/profile/l10n, name collisions checked by hand","All 14 confirmed unused. But the 37-field denominator is hand-built and omits at least MotivationPrefs.preferredDuration, which IS consumed. Should read ""at least 14""",orchestrator,"Numerator upheld, denominator not provable",PARTIALLY_SUPPORTED
